Year,Field,Name,Work
1997,chemistry,Jens C. Skou,"for the first discovery of an ion-transporting enzyme, Na+, K+ -ATPase"
,,,
1997,medicine,Stanley B. Prusiner,for his discovery of Prions – a new biological principle of infection
,,,
1997,literature,Dario Fo,who emulates the jesters of the Middle Ages in scourging authority and upholding the dignity of the downtrodden
,,,
1997,peace,International Campaign to Ban Landmines (ICBL) ,for their work for the banning and clearing of anti-personnel mines
,,,
1997,peace,Jody Williams,for their work for the banning and clearing of anti-personnel mines
,,,
1997,economics,Robert C. Merton,for a new method to determine the value of derivatives
,,,
1997,economics,Myron S. Scholes,for a new method to determine the value of derivatives
,,,
1996,physics,David M. Lee,for their discovery of superfluidity in helium-3
,,,
1996,physics,Douglas D. Osheroff,for their discovery of superfluidity in helium-3
,,,
1996,physics,Robert C. Richardson,for their discovery of superfluidity in helium-3
,,,
1996,chemistry,Robert F. Curl Jr.,for their discovery of fullerenes
,,,
1996,chemistry,Sir Harold W. Kroto,for their discovery of fullerenes
,,,
1996,chemistry,Richard E. Smalley,for their discovery of fullerenes
,,,
1996,medicine,Peter C. Doherty,for their discoveries concerning the specificity of the cell mediated immune defence
,,,
1996,medicine,Rolf M. Zinkernagel,for their discoveries concerning the specificity of the cell mediated immune defence
,,,
1996,literature,Wislawa Szymborska,for poetry that with ironic precision allows the historical and biological context to come to light in fragments of human reality
,,,
1996,peace,Carlos Filipe Ximenes Belo,for their work towards a just and peaceful solution to the conflict in East Timor
,,,
1996,peace,José Ramos-Horta,for their work towards a just and peaceful solution to the conflict in East Timor
,,,
1996,economics,James A. Mirrlees,for their fundamental contributions to the economic theory of incentives under asymmetric information
,,,
1996,economics,William Vickrey,for their fundamental contributions to the economic theory of incentives under asymmetric information
,,,
1995,physics,Martin L. Perl,for the discovery of the tau lepton
,,,
1995,physics,Frederick Reines,for the detection of the neutrino
,,,
1995,chemistry,Paul J. Crutzen,"for their work in atmospheric chemistry, particularly concerning the formation and decomposition of ozone"
,,,
1995,chemistry,Mario J. Molina,"for their work in atmospheric chemistry, particularly concerning the formation and decomposition of ozone"
,,,
1995,chemistry,F. Sherwood Rowland,"for their work in atmospheric chemistry, particularly concerning the formation and decomposition of ozone"
,,,
1995,medicine,Edward B. Lewis,for their discoveries concerning the genetic control of early embryonic development
,,,
1995,medicine,Christiane Nüsslein-Volhard,for their discoveries concerning the genetic control of early embryonic development
,,,
1995,medicine,Eric F. Wieschaus,for their discoveries concerning the genetic control of early embryonic development
,,,
1995,literature,Seamus Heaney,"for works of lyrical beauty and ethical depth, which exalt everyday miracles and the living past"
,,,
1995,peace,Joseph Rotblat,"for their efforts to diminish the part played by nuclear arms in international politics and, in the longer run, to eliminate such arms"
,,,
1995,peace,Pugwash Conferences on Science and World Affairs ,"for their efforts to diminish the part played by nuclear arms in international politics and, in the longer run, to eliminate such arms"
,,,
1995,economics,Robert E. Lucas Jr.,"for having developed and applied the hypothesis of rational expectations, and thereby having transformed macroeconomic analysis and deepened our understanding of economic policy"
,,,
1994,physics,Bertram N. Brockhouse,for the development of neutron spectroscopy
,,,
1994,physics,Clifford G. Shull,for the development of the neutron diffraction technique
,,,
1994,chemistry,George A. Olah,for his contribution to carbocation chemistry
,,,
1994,medicine,Alfred G. Gilman,for their discovery of G-proteins and the role of these proteins in signal transduction in cells
,,,
1994,medicine,Martin Rodbell,for their discovery of G-proteins and the role of these proteins in signal transduction in cells
,,,
1994,literature,Kenzaburo Oe,"who with poetic force creates an imagined world, where life and myth condense to form a disconcerting picture of the human predicament today"
,,,
1994,peace,Yasser Arafat,for their efforts to create peace in the Middle East
,,,
1994,peace,Shimon Peres,for their efforts to create peace in the Middle East
,,,
1994,peace,Yitzhak Rabin,for their efforts to create peace in the Middle East
,,,
1994,economics,John C. Harsanyi,for their pioneering analysis of equilibria in the theory of non-cooperative games
,,,
1994,economics,John F. Nash Jr.,for their pioneering analysis of equilibria in the theory of non-cooperative games
,,,
1994,economics,Reinhard Selten,for their pioneering analysis of equilibria in the theory of non-cooperative games
,,,
1993,physics,Russell A. Hulse,"for the discovery of a new type of pulsar, a discovery that has opened up new possibilities for the study of gravitation"
,,,
1993,physics,Joseph H. Taylor Jr.,"for the discovery of a new type of pulsar, a discovery that has opened up new possibilities for the study of gravitation"
,,,
1993,chemistry,Kary B. Mullis,for his invention of the polymerase chain reaction (PCR) method
,,,
1993,chemistry,Michael Smith,"for his fundamental contributions to the establishment of oligonucleotide-based, site-directed mutagenesis and its development for protein studies"
,,,
1993,medicine,Richard J. Roberts,for their discoveries of split genes
,,,
1993,medicine,Phillip A. Sharp,for their discoveries of split genes
,,,
1993,literature,Toni Morrison,"who in novels characterized by visionary force and poetic import, gives life to an essential aspect of American reality"
,,,
1993,peace,Nelson Mandela,"for their work for the peaceful termination of the apartheid regime, and for laying the foundations for a new democratic South Africa"
,,,
1993,peace,Frederik Willem de Klerk,"for their work for the peaceful termination of the apartheid regime, and for laying the foundations for a new democratic South Africa"
,,,
1993,economics,Robert W. Fogel,for having renewed research in economic history by applying economic theory and quantitative methods in order to explain economic and institutional change
,,,
1993,economics,Douglass C. North,for having renewed research in economic history by applying economic theory and quantitative methods in order to explain economic and institutional change
,,,
1992,physics,Georges Charpak,"for his invention and development of particle detectors, in particular the multiwire proportional chamber"
,,,
1992,chemistry,Rudolph A. Marcus,for his contributions to the theory of electron transfer reactions in chemical systems
,,,
1992,medicine,Edmond H. Fischer,for their discoveries concerning reversible protein phosphorylation as a biological regulatory mechanism
,,,
1992,medicine,Edwin G. Krebs,for their discoveries concerning reversible protein phosphorylation as a biological regulatory mechanism
,,,
1992,literature,Derek Walcott,"for a poetic oeuvre of great luminosity, sustained by a historical vision, the outcome of a multicultural commitment"
,,,
1992,peace,Rigoberta Menchú Tum,for her struggle for social justice and ethno-cultural reconciliation based on respect for the rights of indigenous peoples
,,,
1992,economics,Gary S. Becker,"for having extended the domain of microeconomic analysis to a wide range of human behaviour and interaction, including nonmarket behaviour"
,,,
1991,physics,Pierre-Gilles de Gennes,"for discovering that methods developed for studying order phenomena in simple systems can be generalized to more complex forms of matter, in particular to liquid crystals and polymers"
,,,
1991,chemistry,Richard R. Ernst,for his contributions to the development of the methodology of high resolution nuclear magnetic resonance (NMR) spectroscopy
,,,
1991,medicine,Erwin Neher,for their discoveries concerning the function of single ion channels in cells
,,,
1991,medicine,Bert Sakmann,for their discoveries concerning the function of single ion channels in cells
,,,
1991,literature,Nadine Gordimer,who through her magnificent epic writing has – in the words of Alfred Nobel – been of very great benefit to humanity
,,,
1991,peace,Aung San Suu Kyi ,for her non-violent struggle for democracy and human rights
,,,
1991,economics,Ronald H. Coase,for his discovery and clarification of the significance of transaction costs and property rights for the institutional structure and functioning of the economy
,,,
1990,physics,Jerome I. Friedman,"for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons, which have been of essential importance for the development of the quark model in particle physics"
,,,
1990,physics,Henry W. Kendall,"for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons, which have been of essential importance for the development of the quark model in particle physics"
,,,
1990,physics,Richard E. Taylor,"for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons, which have been of essential importance for the development of the quark model in particle physics"
,,,
1990,chemistry,Elias James Corey,for his development of the theory and methodology of organic synthesis
,,,
1990,medicine,Joseph E. Murray,for their discoveries concerning organ and cell transplantation in the treatment of human disease
,,,
1990,medicine,E. Donnall Thomas,for their discoveries concerning organ and cell transplantation in the treatment of human disease
,,,
1990,literature,Octavio Paz,"for impassioned writing with wide horizons, characterized by sensuous intelligence and humanistic integrity"
,,,
1990,peace,Mikhail Sergeyevich Gorbachev,for his leading role in the peace process which today characterizes important parts of the international community
,,,
1990,economics,Harry M. Markowitz,for their pioneering work in the theory of financial economics
,,,
1990,economics,Merton H. Miller,for their pioneering work in the theory of financial economics
,,,
1990,economics,William F. Sharpe,for their pioneering work in the theory of financial economics
,,,
1989,physics,Norman F. Ramsey,for the invention of the separated oscillatory fields method and its use in the hydrogen maser and other atomic clocks
,,,
1989,physics,Hans G. Dehmelt,for the development of the ion trap technique
,,,
1989,physics,Wolfgang Paul,for the development of the ion trap technique
,,,
1989,chemistry,Sidney Altman,for their discovery of catalytic properties of RNA
,,,
1989,chemistry,Thomas R. Cech,for their discovery of catalytic properties of RNA
,,,
1989,medicine,J. Michael Bishop,for their discovery of the cellular origin of retroviral oncogenes
,,,
1989,medicine,Harold E. Varmus,for their discovery of the cellular origin of retroviral oncogenes
,,,
1989,literature,Camilo José Cela,"for a rich and intensive prose, which with restrained compassion forms a challenging vision of man’s vulnerability"
,,,
1989,peace,"The 14th Dalai Lama (Tenzin Gyatso)
",for advocating peaceful solutions based upon tolerance and mutual respect in order to preserve the historical and cultural heritage of his people”
,,,
1989,peace,"
",for advocating peaceful solutions based upon tolerance and mutual respect in order to preserve the historical and cultural heritage of his people”
,,,
1989,economics,Trygve Haavelmo,for his clarification of the probability theory foundations of econometrics and his analyses of simultaneous economic structures
,,,
1988,physics,Leon M. Lederman,for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino
,,,
1988,physics,Melvin Schwartz,for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino
,,,
1988,physics,Jack Steinberger,for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino
,,,
1988,chemistry,Johann Deisenhofer,for the determination of the three-dimensional structure of a photosynthetic reaction centre
,,,
1988,chemistry,Robert Huber,for the determination of the three-dimensional structure of a photosynthetic reaction centre
,,,
1988,chemistry,Hartmut Michel,for the determination of the three-dimensional structure of a photosynthetic reaction centre
,,,
1988,medicine,Sir James W. Black,for their discoveries of important principles for drug treatment
,,,
1988,medicine,Gertrude B. Elion,for their discoveries of important principles for drug treatment
,,,
1988,medicine,George H. Hitchings,for their discoveries of important principles for drug treatment
,,,
1988,literature,Naguib Mahfouz,"who, through works rich in nuance – now clear-sightedly realistic, now evocatively ambiguous – has formed an Arabian narrative art that applies to all mankind"
,,,
1988,peace,United Nations Peacekeeping Forces,for preventing armed clashes and creating conditions for negotiations
,,,
1988,economics,Maurice Allais,for his pioneering contributions to the theory of markets and efficient utilization of resources
,,,
1987,physics,J. Georg Bednorz,for their important break-through in the discovery of superconductivity in ceramic materials
,,,
1987,physics,K. Alexander Müller,for their important break-through in the discovery of superconductivity in ceramic materials
,,,
1987,chemistry,Donald J. Cram,for their development and use of molecules with structure-specific interactions of high selectivity
,,,
1987,chemistry,Jean-Marie Lehn,for their development and use of molecules with structure-specific interactions of high selectivity
,,,
1987,chemistry,Charles J. Pedersen,for their development and use of molecules with structure-specific interactions of high selectivity
,,,
1987,medicine,Susumu Tonegawa,for his discovery of the genetic principle for generation of antibody diversity
,,,
1987,literature,Joseph Brodsky,"for an all-embracing authorship, imbued with clarity of thought and poetic intensity"
,,,
1987,peace,Oscar Arias Sánchez,for his work for lasting peace in Central America
,,,
1987,economics,Robert M. Solow,for his contributions to the theory of economic growth
,,,
1986,physics,Ernst Ruska,"for his fundamental work in electron optics, and for the design of the first electron microscope"
,,,
1986,physics,Gerd Binnig,for their design of the scanning tunneling microscope
,,,
1986,physics,Heinrich Rohrer,for their design of the scanning tunneling microscope
,,,
1986,chemistry,Dudley R. Herschbach,for their contributions concerning the dynamics of chemical elementary processes
,,,
1986,chemistry,Yuan T. Lee,for their contributions concerning the dynamics of chemical elementary processes
,,,
1986,chemistry,John C. Polanyi,for their contributions concerning the dynamics of chemical elementary processes
,,,
1986,medicine,Stanley Cohen,for their discoveries of growth factors
,,,
1986,medicine,Rita Levi-Montalcini,for their discoveries of growth factors
,,,
1986,literature,Wole Soyinka,who in a wide cultural perspective and with poetic overtones fashions the drama of existence
,,,
1986,peace,Elie Wiesel,"for being a messenger to mankind: his message is one of peace, atonement and dignity"
,,,
1986,economics,James M. Buchanan Jr.,for his development of the contractual and constitutional bases for the theory of economic and political decision-making
,,,
1985,physics,Klaus von Klitzing,for the discovery of the quantized Hall effect
,,,
1985,chemistry,Herbert A. Hauptman,for their outstanding achievements in the development of direct methods for the determination of crystal structures
,,,
1985,chemistry,Jerome Karle,for their outstanding achievements in the development of direct methods for the determination of crystal structures
,,,
1985,medicine,Michael S. Brown,for their discoveries concerning the regulation of cholesterol metabolism
,,,
1985,medicine,Joseph L. Goldstein,for their discoveries concerning the regulation of cholesterol metabolism
,,,
1985,literature,Claude Simon,who in his novel combines the poet’s and the painter’s creativeness with a deepened awareness of time in the depiction of the human condition
,,,
1985,peace,"International Physicians for the Prevention of Nuclear War
",for spreading authoritative information and by creating awareness of the catastrophic consequences of nuclear war
,,,
1985,economics,Franco Modigliani,for his pioneering analyses of saving and of financial markets
,,,
1984,physics,Carlo Rubbia,"for their decisive contributions to the large project, which led to the discovery of the field particles W and Z, communicators of weak interaction"
,,,
1984,physics,Simon van der Meer,"for their decisive contributions to the large project, which led to the discovery of the field particles W and Z, communicators of weak interaction"
,,,
1984,chemistry,Robert Bruce Merrifield,for his development of methodology for chemical synthesis on a solid matrix
,,,
1984,medicine,Niels K. Jerne,for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies
,,,
1984,medicine,Georges J.F. Köhler,for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies
,,,
1984,medicine,César Milstein,for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies
,,,
1984,literature,Jaroslav Seifert,"for his poetry which endowed with freshness, sensuality and rich inventiveness provides a liberating image of the indomitable spirit and versatility of man"
,,,
1984,peace,Desmond Mpilo Tutu,for his role as a unifying leader figure in the non-violent campaign to resolve the problem of apartheid in South Africa
,,,
1984,economics,Richard Stone,for having made fundamental contributions to the development of systems of national accounts and hence greatly improved the basis for empirical economic analysis
,,,
1983,physics,Subramanyan Chandrasekhar,for his theoretical studies of the physical processes of importance to the structure and evolution of the stars
,,,
1983,physics,William Alfred Fowler,for his theoretical and experimental studies of the nuclear reactions of importance in the formation of the chemical elements in the universe
,,,
1983,chemistry,Henry Taube,"for his work on the mechanisms of electron transfer reactions, especially in metal complexes"
,,,
1983,medicine,Barbara McClintock,for her discovery of mobile genetic elements
,,,
1983,literature,William Golding,"for his novels which, with the perspicuity of realistic narrative art and the diversity and universality of myth, illuminate the human condition in the world of today"
,,,
1983,peace,Lech Walesa,for non-violent struggle for free trade unions and human rights in Poland
,,,
1983,economics,Gerard Debreu,for having incorporated new analytical methods into economic theory and for his rigorous reformulation of the theory of general equilibrium
,,,
1982,physics,Kenneth G. Wilson,for his theory for critical phenomena in connection with phase transitions
,,,
1982,chemistry,Aaron Klug,for his development of crystallographic electron microscopy and his structural elucidation of biologically important nucleic acid-protein complexes
,,,
1982,medicine,Sune K. Bergström,for their discoveries concerning prostaglandins and related biologically active substances
,,,
1982,medicine,Bengt I. Samuelsson,for their discoveries concerning prostaglandins and related biologically active substances
,,,
1982,medicine,John R. Vane,for their discoveries concerning prostaglandins and related biologically active substances
,,,
1982,literature,Gabriel García Márquez,"for his novels and short stories, in which the fantastic and the realistic are combined in a richly composed world of imagination, reflecting a continent’s life and conflicts"
,,,
1982,peace,Alva Myrdal ,for their work for disarmament and nuclear and weapon-free zones
,,,
1982,peace,Alfonso García Robles,for their work for disarmament and nuclear and weapon-free zones
,,,
1982,economics,George J. Stigler,"for his seminal studies of industrial structures, functioning of markets and causes and effects of public regulation"
,,,
1981,physics,Nicolaas Bloembergen,for their contribution to the development of laser spectroscopy
,,,
1981,physics,Arthur Leonard Schawlow,for their contribution to the development of laser spectroscopy
,,,
1981,physics,Kai M. Siegbahn,for his contribution to the development of high-resolution electron spectroscopy
,,,
1981,chemistry,Kenichi Fukui,"for their theories, developed independently, concerning the course of chemical reactions"
,,,
1981,chemistry,Roald Hoffmann,"for their theories, developed independently, concerning the course of chemical reactions"
,,,
1981,medicine,Roger W. Sperry,for his discoveries concerning the functional specialization of the cerebral hemispheres
,,,
1981,medicine,David H. Hubel,for their discoveries concerning information processing in the visual system
,,,
1981,medicine,Torsten N. Wiesel,for their discoveries concerning information processing in the visual system
,,,
1981,literature,Elias Canetti,"for writings marked by a broad outlook, a wealth of ideas and artistic power"
,,,
1981,peace,"Office of the United Nations High Commissioner for Refugees (UNHCR)
",for promoting the fundamental rights of refugees
,,,
1981,economics,James Tobin,"for his analysis of financial markets and their relations to expenditure decisions, employment, production and prices"
,,,
1980,physics,James Watson Cronin,for the discovery of violations of fundamental symmetry principles in the decay of neutral K-mesons
,,,
1980,physics,Val Logsdon Fitch,for the discovery of violations of fundamental symmetry principles in the decay of neutral K-mesons
,,,
1980,chemistry,Paul Berg,"for his fundamental studies of the biochemistry of nucleic acids, with particular regard to recombinant-DNA"
,,,
1980,chemistry,Walter Gilbert,for their contributions concerning the determination of base sequences in nucleic acids
,,,
1980,chemistry,Frederick Sanger,for their contributions concerning the determination of base sequences in nucleic acids
,,,
1980,medicine,Baruj Benacerraf,for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions
,,,
1980,medicine,Jean Dausset,for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions
,,,
1980,medicine,George D. Snell,for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions
,,,
1980,literature,Czeslaw Milosz,who with uncompromising clear-sightedness voices man’s exposed condition in a world of severe conflicts
,,,
1980,peace,Adolfo Pérez Esquivel,"for being a source of inspiration to repressed people, especially in Latin America"
,,,
1980,economics,Lawrence R. Klein,for the creation of econometric models and the application to the analysis of economic fluctuations and economic policies
,,,
1979,physics,Sheldon Lee Glashow,"for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current"
,,,
1979,physics,Abdus Salam,"for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current"
,,,
1979,physics,Steven Weinberg,"for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current"
,,,
1979,chemistry,Herbert C. Brown,"for their development of the use of boron- and phosphorus-containing compounds, respectively, into important reagents in organic synthesis"
,,,
1979,chemistry,Georg Wittig,"for their development of the use of boron- and phosphorus-containing compounds, respectively, into important reagents in organic synthesis"
,,,
1979,medicine,Allan M. Cormack,for the development of computer assisted tomography
,,,
1979,medicine,Godfrey N. Hounsfield,for the development of computer assisted tomography
,,,
1979,literature,Odysseus Elytis,"for his poetry, which, against the background of Greek tradition, depicts with sensuous strength and intellectual clear-sightedness modern man’s struggle for freedom and creativeness"
,,,
1979,peace,"Mother Teresa
",for her work for bringing help to suffering humanity
,,,
1979,economics,Theodore W. Schultz,for their pioneering research into economic development research with particular consideration of the problems of developing countries
,,,
1979,economics,Sir Arthur Lewis,for their pioneering research into economic development research with particular consideration of the problems of developing countries
,,,
1978,physics,Pyotr Leonidovich Kapitsa,for his basic inventions and discoveries in the area of low-temperature physics
,,,
1978,physics,Arno Allan Penzias,for their discovery of cosmic microwave background radiation
,,,
1978,physics,Robert Woodrow Wilson,for their discovery of cosmic microwave background radiation
,,,
1978,chemistry,Peter D. Mitchell,for his contribution to the understanding of biological energy transfer through the formulation of the chemiosmotic theory
,,,
1978,medicine,Werner Arber,for the discovery of restriction enzymes and their application to problems of molecular genetics
,,,
1978,medicine,Daniel Nathans,for the discovery of restriction enzymes and their application to problems of molecular genetics
,,,
1978,medicine,Hamilton O. Smith,for the discovery of restriction enzymes and their application to problems of molecular genetics
,,,
1978,literature,Isaac Bashevis Singer,"for his impassioned narrative art which, with roots in a Polish-Jewish cultural tradition, brings universal human conditions to life"
,,,
1978,peace,Mohamed Anwar al-Sadat,for jointly having negotiated peace between Egypt and Israel in 1978
,,,
1978,peace,Menachem Begin,for jointly having negotiated peace between Egypt and Israel in 1978
,,,
1978,economics,Herbert A. Simon,for his pioneering research into the decision-making process within economic organizations
,,,
1977,physics,Philip Warren Anderson,for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems
,,,
1977,physics,Sir Nevill Francis Mott,for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems
,,,
1977,physics,John Hasbrouck Van Vleck,for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems
,,,
1977,chemistry,Ilya Prigogine,"for his contributions to non-equilibrium thermodynamics, particularly the theory of dissipative structures"
,,,
1977,medicine,Roger Guillemin,for their discoveries concerning the peptide hormone production of the brain
,,,
1977,medicine,Andrew V. Schally,for their discoveries concerning the peptide hormone production of the brain
,,,
1977,medicine,Rosalyn Yalow,for the development of radioimmunoassays of peptide hormones
,,,
1977,literature,Vicente Aleixandre,"for a creative poetic writing which illuminates man’s condition in the cosmos and in present-day society, at the same time representing the great renewal of the traditions of Spanish poetry between the wars"
,,,
1977,peace,"Amnesty International
",for worldwide respect for human rights
,,,
1977,economics,Bertil Ohlin,for their pathbreaking contribution to the theory of international trade and international capital movements
,,,
1977,economics,James E. Meade,for their pathbreaking contribution to the theory of international trade and international capital movements
,,,
1976,physics,Burton Richter,for their pioneering work in the discovery of a heavy elementary particle of a new kind
,,,
1976,physics,Samuel Chao Chung Ting,for their pioneering work in the discovery of a heavy elementary particle of a new kind
,,,
1976,chemistry,William N. Lipscomb,for his studies on the structure of boranes illuminating problems of chemical bonding
,,,
1976,medicine,Baruch S. Blumberg,for their discoveries concerning new mechanisms for the origin and dissemination of infectious diseases
,,,
1976,medicine,D. Carleton Gajdusek,for their discoveries concerning new mechanisms for the origin and dissemination of infectious diseases
,,,
1976,literature,Saul Bellow,for the human understanding and subtle analysis of contemporary culture that are combined in his work
,,,
1976,peace,Betty Williams,for the courageous efforts in founding a movement to put an end to the violent conflict in Northern Ireland
,,,
1976,peace,Mairead Corrigan,for the courageous efforts in founding a movement to put an end to the violent conflict in Northern Ireland
,,,
1976,economics,Milton Friedman,"for his achievements in the fields of consumption analysis, monetary history and theory and for his demonstration of the complexity of stabilization policy"
,,,
1975,physics,Aage Niels Bohr,for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection
,,,
1975,physics,Ben Roy Mottelson,for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection
,,,
1975,physics,Leo James Rainwater,for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection
,,,
1975,chemistry,John Warcup Cornforth,for his work on the stereochemistry of enzyme-catalyzed reactions
,,,
1975,chemistry,Vladimir Prelog,for his research into the stereochemistry of organic molecules and reactions
,,,
1975,medicine,David Baltimore,for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell
,,,
1975,medicine,Renato Dulbecco,for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell
,,,
1975,medicine,Howard Martin Temin,for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell
,,,
1975,literature,Eugenio Montale,"for his distinctive poetry which, with great artistic sensitivity, has interpreted human values under the sign of an outlook on life with no illusions"
,,,
1975,peace,Andrei Dmitrievich Sakharov,"for his struggle for human rights in the Soviet Union, for disarmament and cooperation between all nations"
,,,
1975,economics,Leonid Vitaliyevich Kantorovich,for their contributions to the theory of optimum allocation of resources
,,,
1975,economics,Tjalling C. Koopmans,for their contributions to the theory of optimum allocation of resources
,,,
1974,physics,Sir Martin Ryle,"for their pioneering research in radio astrophysics: Ryle for his observations and inventions, in particular of the aperture synthesis technique, and Hewish for his decisive role in the discovery of pulsars"
,,,
1974,physics,Antony Hewish,"for their pioneering research in radio astrophysics: Ryle for his observations and inventions, in particular of the aperture synthesis technique, and Hewish for his decisive role in the discovery of pulsars"
,,,
1974,chemistry,Paul J. Flory,"for his fundamental achievements, both theoretical and experimental, in the physical chemistry of the macromolecules"
,,,
1974,medicine,Albert Claude,for their discoveries concerning the structural and functional organization of the cell
,,,
1974,medicine,Christian de Duve,for their discoveries concerning the structural and functional organization of the cell
,,,
1974,medicine,George E. Palade,for their discoveries concerning the structural and functional organization of the cell
,,,
1974,literature,Eyvind Johnson,"for a narrative art, far-seeing in lands and ages, in the service of freedom"
,,,
1974,literature,Harry Martinson,for writings that catch the dewdrop and reflect the cosmos
,,,
1974,peace,Seán MacBride,for his efforts to secure and develop human rights throughout the world
,,,
1974,peace,Eisaku Sato,for his contribution to stabilize conditions in the Pacific rim area and for signing the Nuclear Non-Proliferation Treaty
,,,
1974,economics,Gunnar Myrdal,"for their pioneering work in the theory of money and economic fluctuations and for their penetrating analysis of the interdependence of economic, social and institutional phenomena"
,,,
1974,economics,Friedrich August von Hayek,"for their pioneering work in the theory of money and economic fluctuations and for their penetrating analysis of the interdependence of economic, social and institutional phenomena"
,,,
1973,physics,Leo Esaki,"for their experimental discoveries regarding tunneling phenomena in semiconductors and superconductors, respectively"
,,,
1973,physics,Ivar Giaever,"for their experimental discoveries regarding tunneling phenomena in semiconductors and superconductors, respectively"
,,,
1973,physics,Brian David Josephson,"for his theoretical predictions of the properties of a supercurrent through a tunnel barrier, in particular those phenomena which are generally known as the Josephson effects"
,,,
1973,chemistry,Ernst Otto Fischer,"for their pioneering work, performed independently, on the chemistry of the organometallic, so called sandwich compounds"
,,,
1973,chemistry,Geoffrey Wilkinson,"for their pioneering work, performed independently, on the chemistry of the organometallic, so called sandwich compounds"
,,,
1973,medicine,Karl von Frisch,for their discoveries concerning organization and elicitation of individual and social behaviour patterns
,,,
1973,medicine,Konrad Lorenz,for their discoveries concerning organization and elicitation of individual and social behaviour patterns
,,,
1973,medicine,Nikolaas Tinbergen,for their discoveries concerning organization and elicitation of individual and social behaviour patterns
,,,
1973,literature,Patrick White,for an epic and psychological narrative art which has introduced a new continent into literature
,,,
1973,peace,Henry A. Kissinger,for jointly having negotiated a cease fire in Vietnam in 1973
,,,
1973,peace,"Le Duc Tho
",for jointly having negotiated a cease fire in Vietnam in 1973
,,,
1973,economics,Wassily Leontief,for the development of the input-output method and for its application to important economic problems
,,,
1972,physics,John Bardeen,"for their jointly developed theory of superconductivity, usually called the BCS-theory"
,,,
1972,physics,Leon Neil Cooper,"for their jointly developed theory of superconductivity, usually called the BCS-theory"
,,,
1972,physics,John Robert Schrieffer,"for their jointly developed theory of superconductivity, usually called the BCS-theory"
,,,
1972,chemistry,Christian B. Anfinsen,"for his work on ribonuclease, especially concerning the connection between the amino acid sequence and the biologically active conformation"
,,,
1972,chemistry,Stanford Moore,for their contribution to the understanding of the connection between chemical structure and catalytic activity of the active centre of the ribonuclease molecule
,,,
1972,chemistry,William H. Stein,for their contribution to the understanding of the connection between chemical structure and catalytic activity of the active centre of the ribonuclease molecule
,,,
1972,medicine,Gerald M. Edelman,for their discoveries concerning the chemical structure of antibodies
,,,
1972,medicine,Rodney R. Porter,for their discoveries concerning the chemical structure of antibodies
,,,
1972,literature,Heinrich Böll,for his writing which through its combination of a broad perspective on his time and a sensitive skill in characterization has contributed to a renewal of German literature
,,,
1972,economics,John R. Hicks,for their pioneering contributions to general economic equilibrium theory and welfare theory
,,,
1972,economics,Kenneth J. Arrow,for their pioneering contributions to general economic equilibrium theory and welfare theory
,,,
1971,physics,Dennis Gabor,for his invention and development of the holographic method
,,,
1971,chemistry,Gerhard Herzberg,"for his contributions to the knowledge of electronic structure and geometry of molecules, particularly free radicals"
,,,
1971,medicine,"Earl W. Sutherland, Jr.",for his discoveries concerning the mechanisms of the action of hormones
,,,
1971,literature,Pablo Neruda,for a poetry that with the action of an elemental force brings alive a continent’s destiny and dreams
,,,
1971,peace,Willy Brandt,for paving the way for a meaningful dialogue between East and West
,,,
1971,economics,Simon Kuznets,for his empirically founded interpretation of economic growth which has led to new and deepened insight into the economic and social structure and process of development
,,,
1970,physics,Hannes Olof Gösta Alfvén,for fundamental work and discoveries in magnetohydro-dynamics with fruitful applications in different parts of plasma physics
,,,
